Product,Country,MonthStart,Year,Month,Quarter,Amount_lag_1,Amount_lag_2,Amount_lag_3,Amount_roll3,Boxes_Shipped_lag_1,Boxes_Shipped_lag_2,Boxes_Shipped_lag_3,Boxes_Shipped_roll3,Amount,Boxes_Shipped
50% Dark Bites,Australia,2025-01-01,2025,1,1,36718.31,9074.919999999998,9718.32,18503.85,252.0,140.0,628.0,340.0,4439.4240799999925,541.866
50% Dark Bites,Canada,2025-01-01,2025,1,1,0.0,14165.59,7301.81,7155.8,0.0,366.0,134.0,166.66666666666666,5801.48979,95.202
50% Dark Bites,India,2025-01-01,2025,1,1,13731.44,14646.32,0.0,9459.253333333334,82.0,567.0,0.0,216.33333333333334,5968.556500000003,73.575
50% Dark Bites,New Zealand,2025-01-01,2025,1,1,0.0,4332.41,11908.779999999999,5413.73,0.0,10.0,388.0,132.66666666666666,6227.024039999991,108.968
50% Dark Bites,UK,2025-01-01,2025,1,1,2930.4,8937.37,3506.38,5124.716666666666,344.0,66.0,126.0,178.66666666666666,7863.494450000001,360.45
50% Dark Bites,USA,2025-01-01,2025,1,1,77.1,2941.65,8080.5599999999995,3699.77,26.0,360.0,417.0,267.6666666666667,7925.774520000005,154.477
70% Dark Bites,Australia,2025-01-01,2025,1,1,1624.86,0.0,278.78,634.5466666666666,103.0,0.0,332.0,145.0,7639.500159999982,250.508
70% Dark Bites,Canada,2025-01-01,2025,1,1,0.0,10791.08,16820.68,9203.92,0.0,166.0,679.0,281.6666666666667,3731.0794400000023,206.6
70% Dark Bites,India,2025-01-01,2025,1,1,0.0,2453.44,4374.25,2275.896666666667,0.0,43.0,254.0,99.0,4130.855779999999,265.18
70% Dark Bites,New Zealand,2025-01-01,2025,1,1,941.61,0.0,7624.41,2855.34,320.0,0.0,139.0,153.0,3877.8605399999965,24.252
70% Dark Bites,UK,2025-01-01,2025,1,1,0.0,0.0,2457.44,819.1466666666666,0.0,0.0,314.0,104.66666666666667,2715.88286,62.944
70% Dark Bites,USA,2025-01-01,2025,1,1,0.0,0.0,2636.16,878.7199999999999,0.0,0.0,110.0,36.666666666666664,5902.579460000027,191.474
85% Dark Bars,Australia,2025-01-01,2025,1,1,7565.6,4590.0,9165.77,7107.123333333334,308.0,78.0,353.0,246.33333333333334,5770.507980000005,49.946
85% Dark Bars,Canada,2025-01-01,2025,1,1,11719.06,0.0,0.0,3906.353333333333,87.0,0.0,0.0,29.0,2805.243760000002,14.814
85% Dark Bars,India,2025-01-01,2025,1,1,30049.940000000002,12481.83,4886.15,15805.973333333333,300.0,313.0,23.0,212.0,9577.396799999997,253.501
85% Dark Bars,New Zealand,2025-01-01,2025,1,1,32771.24,0.0,15125.82,15965.686666666666,195.0,0.0,172.0,122.33333333333333,6134.561559999998,90.978
85% Dark Bars,UK,2025-01-01,2025,1,1,0.0,10749.31,36392.58,15713.963333333333,0.0,206.0,519.0,241.66666666666666,3199.939220000001,52.336
85% Dark Bars,USA,2025-01-01,2025,1,1,27941.239999999998,0.0,8911.97,12284.403333333334,452.0,0.0,394.0,282.0,3237.803019999999,41.73
99% Dark & Pure,Australia,2025-01-01,2025,1,1,17050.38,3356.17,3794.1,8066.883333333334,520.0,111.0,36.0,222.33333333333334,8895.569430000003,334.378
99% Dark & Pure,Canada,2025-01-01,2025,1,1,9749.75,14990.79,1420.22,8720.253333333334,475.0,7.0,422.0,301.3333333333333,5714.9671000000035,59.304
99% Dark & Pure,India,2025-01-01,2025,1,1,227.55,12398.37,10740.73,7788.883333333332,225.0,161.0,575.0,320.3333333333333,3956.69056,31.976
99% Dark & Pure,New Zealand,2025-01-01,2025,1,1,2499.92,0.0,0.0,833.3066666666667,44.0,0.0,0.0,14.666666666666666,4610.7833,47.156
99% Dark & Pure,UK,2025-01-01,2025,1,1,7494.41,1258.54,14086.69,7613.213333333333,246.0,72.0,157.0,158.33333333333334,7497.717899999998,556.101
99% Dark & Pure,USA,2025-01-01,2025,1,1,12988.09,21086.739999999998,906.85,11660.559999999998,568.0,364.0,246.0,392.6666666666667,3162.9495400000033,160.135
After Nines,Australia,2025-01-01,2025,1,1,2600.1299999999997,0.0,0.0,866.7099999999999,168.0,0.0,0.0,56.0,5930.852219999995,73.858
After Nines,Canada,2025-01-01,2025,1,1,9746.29,5384.52,0.0,5043.6033333333335,407.0,180.0,0.0,195.66666666666666,9313.51718000001,513.596
After Nines,India,2025-01-01,2025,1,1,13808.46,12374.91,25197.86,17127.076666666668,270.0,305.0,385.0,320.0,3863.990919999997,360.262
After Nines,New Zealand,2025-01-01,2025,1,1,14484.02,1416.15,6651.11,7517.093333333333,161.0,165.0,377.0,234.33333333333334,7700.566940000002,162.207
After Nines,UK,2025-01-01,2025,1,1,0.0,6263.219999999999,2048.13,2770.4499999999994,0.0,501.0,172.0,224.33333333333334,7383.909579999992,170.796
After Nines,USA,2025-01-01,2025,1,1,4273.09,709.25,1083.76,2022.0333333333335,280.0,263.0,16.0,186.33333333333334,6490.935130000005,228.844
Almond Choco,Australia,2025-01-01,2025,1,1,9358.09,11266.59,4928.3,8517.66,250.0,214.0,71.0,178.33333333333334,5449.161709999994,332.746
